classe,chemin,split
cardboard,..\data\cleaned\cardboard\cardboard12.jpg,train
metal,..\data\cleaned\metal\metal137.jpg,train
glass,..\data\cleaned\glass\glass56.jpg,train
paper,..\data\cleaned\paper\paper232.jpg,train
paper,..\data\cleaned\paper\paper168.jpg,train
paper,..\data\cleaned\paper\paper97.jpg,train
paper,..\data\cleaned\paper\paper144.jpg,train
plastic,..\data\cleaned\plastic\plastic93.jpg,train
metal,..\data\cleaned\metal\metal11.jpg,train
plastic,..\data\cleaned\plastic\plastic86.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard153.jpg,train
paper,..\data\cleaned\paper\paper81.jpg,train
glass,..\data\cleaned\glass\glass19.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard154.jpg,train
glass,..\data\cleaned\glass\glass118.jpg,train
paper,..\data\cleaned\paper\paper14.jpg,train
trash,..\data\cleaned\trash\trash38.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard124.jpg,train
glass,..\data\cleaned\glass\glass97.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard81.jpg,train
paper,..\data\cleaned\paper\paper33.jpg,train
glass,..\data\cleaned\glass\glass166.jpg,train
paper,..\data\cleaned\paper\paper222.jpg,train
metal,..\data\cleaned\metal\metal71.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard73.jpg,train
plastic,..\data\cleaned\plastic\plastic109.jpg,train
plastic,..\data\cleaned\plastic\plastic67.jpg,train
metal,..\data\cleaned\metal\metal127.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard15.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard137.jpg,train
glass,..\data\cleaned\glass\glass112.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard64.jpg,train
paper,..\data\cleaned\paper\paper163.jpg,train
glass,..\data\cleaned\glass\glass64.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard138.jpg,train
glass,..\data\cleaned\glass\glass66.jpg,train
glass,..\data\cleaned\glass\glass14.jpg,train
glass,..\data\cleaned\glass\glass29.jpg,train
metal,..\data\cleaned\metal\metal7.jpg,train
plastic,..\data\cleaned\plastic\plastic120.jpg,train
paper,..\data\cleaned\paper\paper115.jpg,train
paper,..\data\cleaned\paper\paper39.jpg,train
paper,..\data\cleaned\paper\paper212.jpg,train
metal,..\data\cleaned\metal\metal10.jpg,train
paper,..\data\cleaned\paper\paper18.jpg,train
plastic,..\data\cleaned\plastic\plastic189.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard89.jpg,train
glass,..\data\cleaned\glass\glass34.jpg,train
metal,..\data\cleaned\metal\metal74.jpg,train
trash,..\data\cleaned\trash\trash25.jpg,train
plastic,..\data\cleaned\plastic\plastic116.jpg,train
plastic,..\data\cleaned\plastic\plastic174.jpg,train
metal,..\data\cleaned\metal\metal104.jpg,train
metal,..\data\cleaned\metal\metal15.jpg,train
glass,..\data\cleaned\glass\glass111.jpg,train
plastic,..\data\cleaned\plastic\plastic94.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard112.jpg,train
glass,..\data\cleaned\glass\glass93.jpg,train
plastic,..\data\cleaned\plastic\plastic117.jpg,train
plastic,..\data\cleaned\plastic\plastic77.jpg,train
plastic,..\data\cleaned\plastic\plastic150.jpg,train
metal,..\data\cleaned\metal\metal83.jpg,train
glass,..\data\cleaned\glass\glass117g.jpg,train
plastic,..\data\cleaned\plastic\plastic91.jpg,train
trash,..\data\cleaned\trash\trash19.jpg,train
trash,..\data\cleaned\trash\trash9.jpg,train
paper,..\data\cleaned\paper\paper121.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard43.jpg,train
paper,..\data\cleaned\paper\paper90.jpg,train
metal,..\data\cleaned\metal\metal66.jpg,train
paper,..\data\cleaned\paper\paper74.jpg,train
plastic,..\data\cleaned\plastic\plastic173.jpg,train
trash,..\data\cleaned\trash\trash37.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard126.jpg,train
metal,..\data\cleaned\metal\metal108.jpg,train
glass,..\data\cleaned\glass\glass78.jpg,train
glass,..\data\cleaned\glass\glass67.jpg,train
metal,..\data\cleaned\metal\metal34.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard131.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard13v.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard130.jpg,train
plastic,..\data\cleaned\plastic\plastic31.jpg,train
paper,..\data\cleaned\paper\paper20.jpg,train
metal,..\data\cleaned\metal\metal65.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard13.jpg,train
paper,..\data\cleaned\paper\paper27.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard63.jpg,train
metal,..\data\cleaned\metal\metal80.jpg,train
metal,..\data\cleaned\metal\metal50.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard109.jpg,train
paper,..\data\cleaned\paper\paper177.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard136.jpg,train
metal,..\data\cleaned\metal\metal43.jpg,train
paper,..\data\cleaned\paper\paper77.jpg,train
glass,..\data\cleaned\glass\glass124.jpg,train
plastic,..\data\cleaned\plastic\plastic141.jpg,train
plastic,..\data\cleaned\plastic\plastic133.jpg,train
metal,..\data\cleaned\metal\metal76.jpg,train
paper,..\data\cleaned\paper\paper155.jpg,train
metal,..\data\cleaned\metal\metal90.jpg,train
glass,..\data\cleaned\glass\glass70.jpg,train
paper,..\data\cleaned\paper\paper154.jpg,train
metal,..\data\cleaned\metal\metal99.jpg,train
paper,..\data\cleaned\paper\paper104.jpg,train
plastic,..\data\cleaned\plastic\plastic50.jpg,train
glass,..\data\cleaned\glass\glass12.jpg,train
plastic,..\data\cleaned\plastic\plastic123.jpg,train
paper,..\data\cleaned\paper\paper2.jpg,train
glass,..\data\cleaned\glass\glass16.jpg,train
plastic,..\data\cleaned\plastic\plastic18.jpg,train
metal,..\data\cleaned\metal\metal37.jpg,train
metal,..\data\cleaned\metal\metal94.jpg,train
glass,..\data\cleaned\glass\glass40.jpg,train
plastic,..\data\cleaned\plastic\plastic99.jpg,train
paper,..\data\cleaned\paper\paper250.jpg,train
trash,..\data\cleaned\trash\trash34.jpg,train
paper,..\data\cleaned\paper\paper165.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard14.jpg,train
paper,..\data\cleaned\paper\paper127.jpg,train
plastic,..\data\cleaned\plastic\plastic212.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard4.jpg,train
glass,..\data\cleaned\glass\glass180.jpg,train
plastic,..\data\cleaned\plastic\plastic129.jpg,train
glass,..\data\cleaned\glass\glass82.jpg,train
paper,..\data\cleaned\paper\paper37.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard71.jpg,train
plastic,..\data\cleaned\plastic\plastic52.jpg,train
paper,..\data\cleaned\paper\paper148.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard50.jpg,train
plastic,..\data\cleaned\plastic\plastic73.jpg,train
plastic,..\data\cleaned\plastic\plastic71.jpg,train
trash,..\data\cleaned\trash\trash39.jpg,train
paper,..\data\cleaned\paper\paper150.jpg,train
plastic,..\data\cleaned\plastic\plastic114.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard85.jpg,train
glass,..\data\cleaned\glass\glass27.jpg,train
plastic,..\data\cleaned\plastic\plastic124.jpg,train
paper,..\data\cleaned\paper\paper178.jpg,train
glass,..\data\cleaned\glass\glass114.jpg,train
paper,..\data\cleaned\paper\paper17.jpg,train
glass,..\data\cleaned\glass\glass11g.jpg,train
trash,..\data\cleaned\trash\trash21.jpg,train
metal,..\data\cleaned\metal\metal115.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard78.jpg,train
glass,..\data\cleaned\glass\glass170.jpg,train
glass,..\data\cleaned\glass\glass79.jpg,train
plastic,..\data\cleaned\plastic\plastic92.jpg,train
paper,..\data\cleaned\paper\paper216.jpg,train
paper,..\data\cleaned\paper\paper42.jpg,train
paper,..\data\cleaned\paper\paper96.jpg,train
metal,..\data\cleaned\metal\metal46.jpg,train
glass,..\data\cleaned\glass\glass11.jpg,train
paper,..\data\cleaned\paper\paper142.jpg,train
paper,..\data\cleaned\paper\paper174.jpg,train
plastic,..\data\cleaned\plastic\plastic26.jpg,train
plastic,..\data\cleaned\plastic\plastic63.jpg,train
metal,..\data\cleaned\metal\metal109.jpg,train
paper,..\data\cleaned\paper\paper230.jpg,train
glass,..\data\cleaned\glass\glass106.jpg,train
paper,..\data\cleaned\paper\paper63.jpg,train
metal,..\data\cleaned\metal\metal86.jpg,train
plastic,..\data\cleaned\plastic\plastic29.jpg,train
paper,..\data\cleaned\paper\paper242.jpg,train
plastic,..\data\cleaned\plastic\plastic32.jpg,train
paper,..\data\cleaned\paper\paper170.jpg,train
plastic,..\data\cleaned\plastic\plastic102.jpg,train
metal,..\data\cleaned\metal\metal56.jpg,train
glass,..\data\cleaned\glass\glass156.jpg,train
glass,..\data\cleaned\glass\glass167.jpg,train
trash,..\data\cleaned\trash\trash11.jpg,train
paper,..\data\cleaned\paper\paper7.jpg,train
paper,..\data\cleaned\paper\paper59.jpg,train
metal,..\data\cleaned\metal\metal81.jpg,train
paper,..\data\cleaned\paper\paper233.jpg,train
plastic,..\data\cleaned\plastic\plastic4.jpg,train
paper,..\data\cleaned\paper\paper156.jpg,train
metal,..\data\cleaned\metal\metal28.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard59.jpg,train
paper,..\data\cleaned\paper\paper134.jpg,train
paper,..\data\cleaned\paper\paper60.jpg,train
paper,..\data\cleaned\paper\paper205.jpg,train
glass,..\data\cleaned\glass\glass102.jpg,train
plastic,..\data\cleaned\plastic\plastic64.jpg,train
plastic,..\data\cleaned\plastic\plastic113.jpg,train
paper,..\data\cleaned\paper\paper40.jpg,train
trash,..\data\cleaned\trash\trash30.jpg,train
paper,..\data\cleaned\paper\paper176.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard5.jpg,train
paper,..\data\cleaned\paper\paper24.jpg,train
glass,..\data\cleaned\glass\glass125.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard127.jpg,train
metal,..\data\cleaned\metal\metal72.jpg,train
paper,..\data\cleaned\paper\paper204.jpg,train
plastic,..\data\cleaned\plastic\plastic139.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard92.jpg,train
paper,..\data\cleaned\paper\paper188.jpg,train
plastic,..\data\cleaned\plastic\plastic197.jpg,train
paper,..\data\cleaned\paper\paper160.jpg,train
trash,..\data\cleaned\trash\trash44.jpg,train
plastic,..\data\cleaned\plastic\plastic210.jpg,train
glass,..\data\cleaned\glass\glass12er.jpg,train
plastic,..\data\cleaned\plastic\plastic58.jpg,train
plastic,..\data\cleaned\plastic\plastic164.jpg,train
paper,..\data\cleaned\paper\paper32.jpg,train
paper,..\data\cleaned\paper\paper179.jpg,train
paper,..\data\cleaned\paper\paper124.jpg,train
plastic,..\data\cleaned\plastic\plastic118.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard120.jpg,train
metal,..\data\cleaned\metal\metal21.jpg,train
paper,..\data\cleaned\paper\paper92.jpg,train
paper,..\data\cleaned\paper\paper198.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard23.jpg,train
metal,..\data\cleaned\metal\metal93.jpg,train
plastic,..\data\cleaned\plastic\plastic127.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard37.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard147.jpg,train
metal,..\data\cleaned\metal\metal49.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard30.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard103.jpg,train
glass,..\data\cleaned\glass\glass68.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard26.jpg,train
plastic,..\data\cleaned\plastic\plastic23.jpg,train
glass,..\data\cleaned\glass\glass60.jpg,train
paper,..\data\cleaned\paper\paper146.jpg,train
plastic,..\data\cleaned\plastic\plastic27.jpg,train
plastic,..\data\cleaned\plastic\plastic110.jpg,train
trash,..\data\cleaned\trash\trash48.jpg,train
plastic,..\data\cleaned\plastic\plastic22.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard102.jpg,train
glass,..\data\cleaned\glass\glass90.jpg,train
glass,..\data\cleaned\glass\glass146.jpg,train
paper,..\data\cleaned\paper\paper9.jpg,train
paper,..\data\cleaned\paper\paper152.jpg,train
plastic,..\data\cleaned\plastic\plastic111.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard157.jpg,train
paper,..\data\cleaned\paper\paper6.jpg,train
trash,..\data\cleaned\trash\trash45.jpg,train
metal,..\data\cleaned\metal\metal3.jpg,train
plastic,..\data\cleaned\plastic\plastic159.jpg,train
paper,..\data\cleaned\paper\paper153.jpg,train
plastic,..\data\cleaned\plastic\plastic54.jpg,train
plastic,..\data\cleaned\plastic\plastic6.jpg,train
paper,..\data\cleaned\paper\paper86.jpg,train
metal,..\data\cleaned\metal\metal84.jpg,train
trash,..\data\cleaned\trash\trash32.jpg,train
metal,..\data\cleaned\metal\metal136.jpg,train
plastic,..\data\cleaned\plastic\plastic125.jpg,train
paper,..\data\cleaned\paper\paper70.jpg,train
glass,..\data\cleaned\glass\glass136.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard140.jpg,train
plastic,..\data\cleaned\plastic\plastic186.jpg,train
plastic,..\data\cleaned\plastic\plastic43.jpg,train
paper,..\data\cleaned\paper\paper206.jpg,train
glass,..\data\cleaned\glass\glass160.jpg,train
glass,..\data\cleaned\glass\glass178.jpg,train
trash,..\data\cleaned\trash\trash15.jpg,train
glass,..\data\cleaned\glass\glass43.jpg,train
plastic,..\data\cleaned\plastic\plastic98.jpg,train
glass,..\data\cleaned\glass\glass63.jpg,train
plastic,..\data\cleaned\plastic\plastic155.jpg,train
plastic,..\data\cleaned\plastic\plastic42.jpg,train
metal,..\data\cleaned\metal\metal85.jpg,train
glass,..\data\cleaned\glass\glass153.jpg,train
paper,..\data\cleaned\paper\paper141.jpg,train
metal,..\data\cleaned\metal\metal53.jpg,train
plastic,..\data\cleaned\plastic\plastic206.jpg,train
glass,..\data\cleaned\glass\glass128.jpg,train
metal,..\data\cleaned\metal\metal116.jpg,train
glass,..\data\cleaned\glass\glass38.jpg,train
plastic,..\data\cleaned\plastic\plastic213.jpg,train
metal,..\data\cleaned\metal\metal68.jpg,train
plastic,..\data\cleaned\plastic\plastic36.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard84.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard132.jpg,train
glass,..\data\cleaned\glass\glass173.jpg,train
glass,..\data\cleaned\glass\glass33.jpg,train
glass,..\data\cleaned\glass\glass117.jpg,train
plastic,..\data\cleaned\plastic\plastic104.jpg,train
paper,..\data\cleaned\paper\paper83.jpg,train
metal,..\data\cleaned\metal\metal70.jpg,train
paper,..\data\cleaned\paper\paper5.jpg,train
glass,..\data\cleaned\glass\glass168.jpg,train
glass,..\data\cleaned\glass\glass1.jpg,train
plastic,..\data\cleaned\plastic\plastic144.jpg,train
metal,..\data\cleaned\metal\metal47.jpg,train
trash,..\data\cleaned\trash\trash42.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard41.jpg,train
plastic,..\data\cleaned\plastic\plastic195.jpg,train
paper,..\data\cleaned\paper\paper184.jpg,train
plastic,..\data\cleaned\plastic\plastic112.jpg,train
plastic,..\data\cleaned\plastic\plastic60.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard125.jpg,train
plastic,..\data\cleaned\plastic\plastic132.jpg,train
glass,..\data\cleaned\glass\glass148.jpg,train
paper,..\data\cleaned\paper\paper21.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard72.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard3.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard123.jpg,train
plastic,..\data\cleaned\plastic\plastic158.jpg,train
trash,..\data\cleaned\trash\trash40.jpg,train
paper,..\data\cleaned\paper\paper3.jpg,train
paper,..\data\cleaned\paper\paper137.jpg,train
glass,..\data\cleaned\glass\glass122.jpg,train
metal,..\data\cleaned\metal\metal19.jpg,train
plastic,..\data\cleaned\plastic\plastic68.jpg,train
paper,..\data\cleaned\paper\paper85.jpg,train
paper,..\data\cleaned\paper\paper164.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard99.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard24.jpg,train
plastic,..\data\cleaned\plastic\plastic219.jpg,train
glass,..\data\cleaned\glass\glass127.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard149.jpg,train
glass,..\data\cleaned\glass\glass61.jpg,train
metal,..\data\cleaned\metal\metal55.jpg,train
metal,..\data\cleaned\metal\metal98.jpg,train
glass,..\data\cleaned\glass\glass55.jpg,train
paper,..\data\cleaned\paper\paper93.jpg,train
metal,..\data\cleaned\metal\metal126.jpg,train
glass,..\data\cleaned\glass\glass85.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard90.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard44.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard159.jpg,train
paper,..\data\cleaned\paper\paper1.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard65.jpg,train
paper,..\data\cleaned\paper\paper135.jpg,train
glass,..\data\cleaned\glass\glass105.jpg,train
glass,..\data\cleaned\glass\glass126.jpg,train
glass,..\data\cleaned\glass\glass163.jpg,train
plastic,..\data\cleaned\plastic\plastic162.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard134.jpg,train
paper,..\data\cleaned\paper\paper99.jpg,train
glass,..\data\cleaned\glass\glass95.jpg,train
plastic,..\data\cleaned\plastic\plastic85.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard6.jpg,train
metal,..\data\cleaned\metal\metal100.jpg,train
paper,..\data\cleaned\paper\paper173.jpg,train
plastic,..\data\cleaned\plastic\plastic136.jpg,train
paper,..\data\cleaned\paper\paper119.jpg,train
paper,..\data\cleaned\paper\paper169.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard158.jpg,train
glass,..\data\cleaned\glass\glass75.jpg,train
paper,..\data\cleaned\paper\paper108.jpg,train
trash,..\data\cleaned\trash\trash36.jpg,train
metal,..\data\cleaned\metal\metal88.jpg,train
trash,..\data\cleaned\trash\trash23.jpg,train
metal,..\data\cleaned\metal\metal1.jpg,train
plastic,..\data\cleaned\plastic\plastic70.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard113.jpg,train
plastic,..\data\cleaned\plastic\plastic167.jpg,train
glass,..\data\cleaned\glass\glass138.jpg,train
glass,..\data\cleaned\glass\glass50.jpg,train
trash,..\data\cleaned\trash\trash31.jpg,train
glass,..\data\cleaned\glass\glass129.jpg,train
plastic,..\data\cleaned\plastic\plastic182.jpg,train
paper,..\data\cleaned\paper\paper112.jpg,train
glass,..\data\cleaned\glass\glass39.jpg,train
metal,..\data\cleaned\metal\metal125.jpg,train
paper,..\data\cleaned\paper\paper145.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard56.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard27.jpg,train
glass,..\data\cleaned\glass\glass161.jpg,train
plastic,..\data\cleaned\plastic\plastic131.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard38.jpg,train
paper,..\data\cleaned\paper\paper84.jpg,train
paper,..\data\cleaned\paper\paper66.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard105.jpg,train
glass,..\data\cleaned\glass\glass59.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard35.jpg,train
glass,..\data\cleaned\glass\glass80.jpg,train
plastic,..\data\cleaned\plastic\plastic75.jpg,train
metal,..\data\cleaned\metal\metal118.jpg,train
metal,..\data\cleaned\metal\metal119.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard94.jpg,train
paper,..\data\cleaned\paper\paper133.jpg,train
paper,..\data\cleaned\paper\paper199.jpg,train
metal,..\data\cleaned\metal\metal5.jpg,train
glass,..\data\cleaned\glass\glass131.jpg,train
paper,..\data\cleaned\paper\paper193.jpg,train
plastic,..\data\cleaned\plastic\plastic53.jpg,train
plastic,..\data\cleaned\plastic\plastic191.jpg,train
trash,..\data\cleaned\trash\trash10.jpg,train
paper,..\data\cleaned\paper\paper162.jpg,train
paper,..\data\cleaned\paper\paper231.jpg,train
plastic,..\data\cleaned\plastic\plastic140.jpg,train
glass,..\data\cleaned\glass\glass2.jpg,train
metal,..\data\cleaned\metal\metal63.jpg,train
trash,..\data\cleaned\trash\trash47.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard77.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard68.jpg,train
trash,..\data\cleaned\trash\trash43.jpg,train
plastic,..\data\cleaned\plastic\plastic57.jpg,train
plastic,..\data\cleaned\plastic\plastic218.jpg,train
paper,..\data\cleaned\paper\paper98.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard2.jpg,train
plastic,..\data\cleaned\plastic\plastic121.jpg,train
plastic,..\data\cleaned\plastic\plastic2.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard108.jpg,train
trash,..\data\cleaned\trash\trash7.jpg,train
glass,..\data\cleaned\glass\glass169.jpg,train
metal,..\data\cleaned\metal\metal124.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard31.jpg,train
metal,..\data\cleaned\metal\metal60.jpg,train
metal,..\data\cleaned\metal\metal39.jpg,train
paper,..\data\cleaned\paper\paper57.jpg,train
paper,..\data\cleaned\paper\paper123.jpg,train
paper,..\data\cleaned\paper\paper105.jpg,train
metal,..\data\cleaned\metal\metal64.jpg,train
metal,..\data\cleaned\metal\metal134.jpg,train
plastic,..\data\cleaned\plastic\plastic5.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard145.jpg,train
trash,..\data\cleaned\trash\trash18.jpg,train
plastic,..\data\cleaned\plastic\plastic177.jpg,train
glass,..\data\cleaned\glass\glass91.jpg,train
plastic,..\data\cleaned\plastic\plastic3.jpg,train
plastic,..\data\cleaned\plastic\plastic40.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard96.jpg,train
paper,..\data\cleaned\paper\paper80.jpg,train
glass,..\data\cleaned\glass\glass24.jpg,train
paper,..\data\cleaned\paper\paper28.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard104.jpg,train
